frame_number,ID,LT,RB,score
0,2,"(486, 166)","(639, 349)",0.26
1,2,"(486, 166)","(639, 349)",0.26
2,2,"(486, 166)","(639, 349)",0.26
3,2,"(485, 166)","(638, 349)",0.26
4,2,"(485, 167)","(639, 349)",0.26
5,2,"(485, 166)","(639, 350)",0.25
6,2,"(485, 166)","(638, 350)",0.25
7,2,"(485, 166)","(638, 350)",0.25
8,2,"(485, 166)","(638, 350)",0.25
9,2,"(484, 166)","(638, 350)",0.25
10,2,"(484, 167)","(638, 351)",0.25
11,2,"(485, 167)","(637, 351)",0.25
12,2,"(485, 167)","(637, 351)",0.26
13,2,"(484, 167)","(637, 351)",0.26
14,2,"(484, 168)","(637, 352)",0.25
15,2,"(484, 167)","(637, 355)",0.25
16,2,"(483, 169)","(635, 358)",0.26
17,2,"(483, 169)","(635, 358)",0.26
18,2,"(483, 170)","(633, 359)",0.26
19,2,"(481, 171)","(634, 360)",0.27
20,2,"(482, 171)","(635, 360)",0.28
21,2,"(483, 171)","(635, 357)",0.27
22,2,"(484, 171)","(635, 357)",0.27
23,2,"(484, 171)","(634, 357)",0.27
24,2,"(483, 169)","(636, 359)",0.27
25,2,"(484, 170)","(634, 358)",0.27
26,2,"(484, 170)","(634, 357)",0.27
27,2,"(485, 170)","(635, 357)",0.27
28,2,"(485, 170)","(635, 357)",0.27
29,2,"(485, 170)","(636, 357)",0.27
30,2,"(486, 170)","(637, 356)",0.27
31,2,"(486, 168)","(638, 356)",0.27
32,2,"(486, 170)","(637, 355)",0.28
33,2,"(486, 167)","(639, 355)",0.27
34,2,"(486, 168)","(639, 355)",0.27
35,2,"(488, 167)","(639, 355)",0.27
36,2,"(488, 168)","(639, 352)",0.27
37,2,"(488, 168)","(639, 352)",0.27
38,2,"(489, 167)","(639, 353)",0.27
39,2,"(488, 167)","(639, 355)",0.27
40,2,"(490, 167)","(641, 353)",0.24
41,2,"(490, 166)","(642, 354)",0.25
42,2,"(490, 167)","(642, 355)",0.24
43,2,"(490, 167)","(642, 356)",0.26
44,2,"(490, 168)","(642, 355)",0.26
45,2,"(491, 168)","(643, 354)",0.26
46,2,"(491, 167)","(643, 355)",0.26
47,2,"(491, 168)","(642, 355)",0.26
48,2,"(490, 167)","(642, 356)",0.26
49,2,"(490, 167)","(642, 357)",0.24
50,2,"(490, 166)","(643, 356)",0.23
51,2,"(490, 165)","(644, 356)",0.23
52,2,"(490, 165)","(644, 356)",0.23
53,2,"(490, 166)","(643, 357)",0.24
54,2,"(490, 165)","(643, 355)",0.23
55,2,"(490, 164)","(643, 355)",0.23
56,2,"(490, 164)","(644, 353)",0.24
57,2,"(490, 164)","(643, 353)",0.24
58,2,"(491, 165)","(643, 352)",0.24
59,2,"(490, 166)","(642, 352)",0.25
60,2,"(491, 166)","(643, 352)",0.25
61,2,"(491, 167)","(643, 353)",0.25
62,2,"(491, 167)","(643, 353)",0.25
63,2,"(488, 166)","(642, 355)",0.24
64,2,"(488, 166)","(642, 357)",0.24
65,2,"(489, 165)","(642, 354)",0.24
66,2,"(488, 165)","(642, 355)",0.23
67,2,"(488, 165)","(642, 355)",0.24
68,2,"(487, 165)","(642, 356)",0.23
69,2,"(487, 165)","(642, 356)",0.23
70,2,"(489, 166)","(643, 352)",0.25
71,2,"(489, 165)","(643, 352)",0.25
