frame_number,ID,LT,RB,score
81,2,"(1077, 144)","(1250, 357)",0.14
82,2,"(1078, 123)","(1250, 334)",0.12
83,2,"(1075, 103)","(1245, 313)",0.11
88,4,"(1624, 58)","(1821, 286)",0.10
88,2,"(1027, 2)","(1197, 207)",0.10
89,4,"(1620, 55)","(1814, 284)",0.10
90,4,"(1617, 55)","(1811, 285)",0.10
91,4,"(1613, 55)","(1809, 286)",0.10
92,4,"(1609, 56)","(1807, 289)",0.10
95,4,"(1603, 56)","(1800, 287)",0.10
96,4,"(1600, 56)","(1797, 286)",0.10
97,4,"(1597, 58)","(1793, 285)",0.09
98,4,"(1596, 59)","(1791, 285)",0.09
104,4,"(229, 102)","(408, 328)",0.05
105,4,"(229, 100)","(406, 324)",0.05
106,4,"(231, 101)","(405, 322)",0.05
107,4,"(232, 98)","(405, 319)",0.05
108,4,"(234, 97)","(407, 319)",0.05
109,4,"(237, 99)","(408, 316)",0.05
114,4,"(1580, 83)","(1767, 304)",0.09
115,4,"(1580, 83)","(1767, 304)",0.09
116,4,"(1579, 84)","(1765, 304)",0.09
117,4,"(1578, 82)","(1765, 305)",0.10
118,4,"(262, 38)","(434, 242)",0.05
118,4,"(1575, 81)","(1766, 305)",0.10
119,4,"(1573, 81)","(1765, 307)",0.10
120,4,"(1575, 86)","(1768, 308)",0.10
120,4,"(272, 30)","(436, 226)",0.05
121,4,"(1573, 86)","(1768, 311)",0.10
121,4,"(278, 27)","(443, 221)",0.05
122,4,"(1573, 89)","(1767, 313)",0.10
123,4,"(1573, 91)","(1766, 314)",0.10
124,4,"(1573, 94)","(1766, 316)",0.10
125,4,"(298, 30)","(464, 223)",0.05
125,4,"(1568, 92)","(1761, 317)",0.10
126,4,"(1570, 97)","(1762, 317)",0.09
127,4,"(1570, 99)","(1762, 318)",0.10
